ID_Vulnerabilidade,ID_Ativo,Severidade,Data_Detectada,Status_Correção
VUL000161,ATV00927,Crítica,2025-03-03,Em Progresso
VUL000162,ATV00900,Média,2025-02-26,Corrigida
VUL000163,ATV00601,Alta,2024-12-03,Corrigida
VUL000164,ATV00544,Alta,2025-01-12,Corrigida
VUL000165,ATV00532,Baixa,2025-03-18,Não Corrigida
VUL000166,ATV00762,Média,2025-05-05,Corrigida
VUL000167,ATV00625,Baixa,2025-03-17,Não Corrigida
VUL000168,ATV00515,Baixa,2025-02-10,Não Corrigida
VUL000169,ATV00163,Média,2025-03-17,Em Progresso
VUL000170,ATV00325,Baixa,2025-05-05,Corrigida
VUL000171,ATV00302,Baixa,2025-04-23,Corrigida
VUL000172,ATV00870,Baixa,2025-04-03,Não Corrigida
VUL000173,ATV00187,Baixa,2025-01-22,Corrigida
VUL000174,ATV00822,Média,2025-04-01,Em Progresso
VUL000175,ATV00041,Alta,2025-02-11,Não Corrigida
VUL000176,ATV00920,Alta,2025-03-04,Não Corrigida
VUL000177,ATV00270,Baixa,2024-12-16,Não Corrigida
VUL000178,ATV00313,Crítica,2025-04-08,Em Progresso
VUL000179,ATV00915,Crítica,2025-02-15,Corrigida
VUL000180,ATV00766,Média,2025-02-11,Não Corrigida
VUL000181,ATV00663,Baixa,2025-01-17,Não Corrigida
VUL000182,ATV00867,Média,2025-03-08,Corrigida
VUL000183,ATV00234,Crítica,2025-04-03,Não Corrigida
VUL000184,ATV00166,Crítica,2025-03-02,Corrigida
VUL000185,ATV00032,Alta,2025-02-08,Corrigida
VUL000186,ATV00441,Alta,2024-12-13,Em Progresso
VUL000187,ATV00474,Crítica,2025-04-10,Não Corrigida
VUL000188,ATV00640,Média,2025-05-02,Em Progresso
VUL000189,ATV00114,Média,2024-12-01,Em Progresso
VUL000190,ATV00585,Alta,2025-02-21,Corrigida
VUL000191,ATV00045,Crítica,2025-04-09,Em Progresso
VUL000192,ATV00330,Baixa,2025-04-04,Corrigida
VUL000193,ATV00478,Média,2025-04-29,Corrigida
VUL000194,ATV00035,Crítica,2025-04-25,Corrigida
VUL000195,ATV00615,Alta,2025-05-02,Corrigida
VUL000196,ATV00648,Crítica,2025-04-22,Corrigida
VUL000197,ATV00721,Crítica,2025-02-10,Corrigida
VUL000198,ATV00496,Alta,2025-02-23,Não Corrigida
VUL000199,ATV00401,Média,2025-02-14,Não Corrigida
VUL000200,ATV00036,Alta,2024-12-27,Corrigida
VUL000201,ATV00502,Crítica,2024-11-28,Em Progresso
VUL000202,ATV00840,Média,2024-12-22,Em Progresso
VUL000203,ATV00942,Crítica,2025-03-25,Não Corrigida
VUL000204,ATV00727,Baixa,2025-04-21,Em Progresso
VUL000205,ATV00030,Alta,2025-01-03,Não Corrigida
VUL000206,ATV00656,Alta,2025-01-25,Não Corrigida
VUL000207,ATV00364,Média,2025-02-28,Corrigida
VUL000208,ATV00754,Crítica,2025-03-06,Não Corrigida
VUL000209,ATV00461,Alta,2024-12-30,Em Progresso
VUL000210,ATV00254,Baixa,2025-03-09,Em Progresso
VUL000211,ATV00297,Alta,2025-01-12,Não Corrigida
VUL000212,ATV00368,Baixa,2025-03-01,Corrigida
VUL000213,ATV00733,Média,2025-01-21,Corrigida
VUL000214,ATV00851,Alta,2025-05-04,Em Progresso
VUL000215,ATV00862,Média,2025-04-08,Não Corrigida
VUL000216,ATV00150,Alta,2025-01-21,Não Corrigida
VUL000217,ATV00322,Crítica,2024-11-30,Em Progresso
VUL000218,ATV00435,Alta,2025-04-24,Em Progresso
VUL000219,ATV00379,Crítica,2025-03-28,Corrigida
VUL000220,ATV00119,Crítica,2024-12-11,Corrigida
VUL000221,ATV00943,Alta,2025-04-13,Corrigida
VUL000222,ATV00294,Alta,2024-12-03,Não Corrigida
VUL000223,ATV00390,Crítica,2025-04-15,Corrigida
VUL000224,ATV00743,Média,2025-04-11,Corrigida
VUL000225,ATV00035,Média,2025-04-20,Em Progresso
VUL000226,ATV00258,Alta,2024-11-27,Em Progresso
VUL000227,ATV00202,Média,2025-03-08,Não Corrigida
VUL000228,ATV00296,Alta,2025-01-23,Em Progresso
VUL000229,ATV00155,Crítica,2024-11-30,Não Corrigida
VUL000230,ATV00899,Alta,2025-01-30,Não Corrigida
VUL000231,ATV00336,Baixa,2025-02-16,Corrigida
VUL000232,ATV00584,Crítica,2025-04-25,Não Corrigida
VUL000233,ATV00493,Crítica,2025-04-11,Corrigida
VUL000234,ATV00434,Crítica,2025-02-26,Em Progresso
VUL000235,ATV00198,Baixa,2025-04-01,Em Progresso
VUL000236,ATV00911,Crítica,2025-01-29,Corrigida
VUL000237,ATV00231,Alta,2025-04-21,Não Corrigida
VUL000238,ATV00439,Média,2024-11-28,Não Corrigida
VUL000239,ATV00632,Alta,2025-03-16,Não Corrigida
VUL000240,ATV00934,Alta,2025-04-10,Não Corrigida
VUL000241,ATV00535,Média,2024-12-20,Em Progresso
VUL000242,ATV00905,Baixa,2025-03-19,Em Progresso
VUL000243,ATV00432,Crítica,2024-12-31,Em Progresso
VUL000244,ATV00264,Baixa,2025-02-04,Em Progresso
VUL000245,ATV00126,Crítica,2025-02-16,Corrigida
VUL000246,ATV00643,Baixa,2025-04-02,Corrigida
VUL000247,ATV00283,Baixa,2025-01-08,Não Corrigida
VUL000248,ATV00143,Alta,2025-01-10,Em Progresso
VUL000249,ATV00013,Baixa,2025-03-08,Não Corrigida
VUL000250,ATV00919,Média,2025-01-20,Em Progresso
VUL000251,ATV00579,Crítica,2024-12-22,Não Corrigida
VUL000252,ATV00675,Baixa,2025-03-10,Em Progresso
VUL000253,ATV00571,Crítica,2025-02-03,Em Progresso
VUL000254,ATV00630,Crítica,2025-01-22,Em Progresso
VUL000255,ATV00702,Baixa,2025-03-20,Corrigida
VUL000256,ATV00338,Média,2024-12-06,Em Progresso
VUL000257,ATV00768,Alta,2025-05-03,Não Corrigida
VUL000258,ATV00991,Crítica,2024-12-11,Em Progresso
VUL000259,ATV00538,Crítica,2025-04-21,Em Progresso
VUL000260,ATV00620,Crítica,2025-04-25,Não Corrigida
VUL000261,ATV00101,Média,2025-02-25,Não Corrigida
VUL000262,ATV00701,Crítica,2024-12-06,Em Progresso
VUL000263,ATV00016,Média,2025-05-10,Não Corrigida
VUL000264,ATV00182,Baixa,2025-03-09,Em Progresso
VUL000265,ATV00232,Baixa,2024-12-06,Corrigida
VUL000266,ATV00610,Alta,2025-03-16,Corrigida
VUL000267,ATV00301,Média,2025-02-10,Não Corrigida
VUL000268,ATV00003,Crítica,2025-05-12,Não Corrigida
VUL000269,ATV00020,Média,2024-12-13,Em Progresso
VUL000270,ATV00547,Média,2025-01-08,Corrigida
VUL000271,ATV00360,Alta,2024-12-16,Corrigida
VUL000272,ATV00521,Média,2025-01-07,Corrigida
VUL000273,ATV00135,Média,2024-12-25,Em Progresso
VUL000274,ATV00970,Baixa,2025-01-19,Não Corrigida
VUL000275,ATV00604,Baixa,2025-03-14,Em Progresso
VUL000276,ATV00101,Média,2025-02-11,Não Corrigida
VUL000277,ATV00376,Alta,2025-02-22,Corrigida
VUL000278,ATV00925,Baixa,2024-12-15,Corrigida
VUL000279,ATV00684,Baixa,2024-12-18,Corrigida
VUL000280,ATV00661,Alta,2025-05-02,Corrigida
VUL000281,ATV00745,Alta,2025-03-13,Não Corrigida
VUL000282,ATV00649,Média,2025-04-03,Corrigida
VUL000283,ATV00367,Média,2025-03-28,Não Corrigida
VUL000284,ATV00279,Baixa,2025-01-02,Em Progresso
VUL000285,ATV00984,Alta,2024-11-30,Não Corrigida
VUL000286,ATV00470,Crítica,2024-12-18,Em Progresso
VUL000287,ATV00110,Baixa,2025-05-04,Em Progresso
VUL000288,ATV00047,Média,2025-03-15,Corrigida
VUL000289,ATV00098,Alta,2025-01-28,Não Corrigida
VUL000290,ATV00354,Crítica,2025-03-29,Não Corrigida
VUL000291,ATV00776,Média,2024-12-25,Em Progresso
VUL000292,ATV00743,Baixa,2025-03-03,Em Progresso
VUL000293,ATV00069,Média,2025-04-06,Em Progresso
VUL000294,ATV00168,Alta,2025-02-24,Corrigida
VUL000295,ATV00935,Baixa,2025-01-14,Em Progresso
VUL000296,ATV00391,Alta,2024-12-30,Em Progresso
VUL000297,ATV00373,Baixa,2024-12-15,Não Corrigida
VUL000298,ATV00847,Baixa,2025-03-01,Não Corrigida
VUL000299,ATV00469,Baixa,2024-12-08,Corrigida
VUL000300,ATV00088,Alta,2025-01-15,Não Corrigida
VUL000301,ATV00813,Alta,2025-01-08,Corrigida
VUL000302,ATV00336,Alta,2025-03-27,Corrigida
VUL000303,ATV00785,Média,2025-01-03,Em Progresso
VUL000304,ATV00495,Média,2025-02-25,Em Progresso
VUL000305,ATV00894,Baixa,2025-04-22,Em Progresso
VUL000306,ATV00053,Alta,2025-01-18,Não Corrigida
VUL000307,ATV00430,Média,2025-03-22,Não Corrigida
VUL000308,ATV00488,Baixa,2024-11-24,Em Progresso
VUL000309,ATV00657,Média,2025-02-27,Corrigida
VUL000310,ATV00942,Média,2025-03-01,Corrigida
VUL000311,ATV00326,Média,2025-01-26,Corrigida
VUL000312,ATV00921,Baixa,2025-04-26,Corrigida
VUL000313,ATV00368,Média,2025-02-08,Corrigida
VUL000314,ATV00269,Alta,2025-04-22,Em Progresso
VUL000315,ATV00622,Alta,2024-12-13,Corrigida
VUL000316,ATV00124,Alta,2025-03-07,Corrigida
VUL000317,ATV00907,Média,2025-03-08,Em Progresso
VUL000318,ATV00777,Alta,2025-04-09,Corrigida
VUL000319,ATV00120,Crítica,2024-12-30,Em Progresso
VUL000320,ATV00610,Média,2025-01-31,Não Corrigida
VUL000321,ATV00757,Alta,2024-12-26,Em Progresso
VUL000322,ATV00713,Alta,2024-12-31,Não Corrigida
VUL000323,ATV00584,Alta,2025-02-13,Em Progresso
VUL000324,ATV00164,Média,2025-03-07,Corrigida
VUL000325,ATV00140,Alta,2025-02-18,Não Corrigida
VUL000326,ATV00309,Baixa,2025-04-27,Não Corrigida
VUL000327,ATV00192,Baixa,2025-02-13,Não Corrigida
VUL000328,ATV00373,Baixa,2024-12-11,Em Progresso
VUL000329,ATV00714,Média,2025-05-01,Não Corrigida
VUL000330,ATV00129,Alta,2025-04-18,Corrigida
VUL000331,ATV00509,Média,2025-02-27,Em Progresso
VUL000332,ATV00835,Média,2025-04-13,Em Progresso
VUL000333,ATV00643,Crítica,2025-04-21,Em Progresso
VUL000334,ATV00142,Alta,2025-02-24,Corrigida
VUL000335,ATV00592,Crítica,2025-04-05,Não Corrigida
VUL000336,ATV00090,Média,2025-03-07,Não Corrigida
VUL000337,ATV00243,Crítica,2025-01-15,Não Corrigida
VUL000338,ATV00292,Alta,2025-02-16,Não Corrigida
VUL000339,ATV00614,Crítica,2024-12-06,Em Progresso
VUL000340,ATV00144,Crítica,2025-01-08,Não Corrigida
VUL000341,ATV00991,Baixa,2025-01-01,Em Progresso
VUL000342,ATV00989,Alta,2024-11-23,Corrigida
VUL000343,ATV00911,Alta,2025-05-04,Corrigida
VUL000344,ATV00871,Crítica,2025-01-27,Em Progresso
VUL000345,ATV00579,Alta,2025-04-28,Não Corrigida
VUL000346,ATV00832,Média,2025-04-19,Não Corrigida
VUL000347,ATV00784,Alta,2024-12-16,Corrigida
VUL000348,ATV00829,Crítica,2025-01-09,Em Progresso
VUL000349,ATV00950,Média,2024-12-18,Não Corrigida
VUL000350,ATV00984,Alta,2025-02-15,Não Corrigida
VUL000351,ATV00939,Alta,2025-02-25,Não Corrigida
VUL000352,ATV00902,Crítica,2025-02-10,Corrigida
VUL000353,ATV00609,Crítica,2025-02-02,Não Corrigida
VUL000354,ATV00896,Alta,2025-02-18,Corrigida
VUL000355,ATV00207,Baixa,2025-04-18,Corrigida
VUL000356,ATV00067,Alta,2025-04-15,Em Progresso
VUL000357,ATV00672,Alta,2025-03-13,Em Progresso
VUL000358,ATV00957,Baixa,2024-12-21,Corrigida
VUL000359,ATV00409,Média,2025-04-19,Em Progresso
VUL000360,ATV00361,Crítica,2025-02-23,Não Corrigida
VUL000361,ATV00294,Crítica,2024-12-10,Em Progresso
VUL000362,ATV00952,Média,2025-02-24,Em Progresso
VUL000363,ATV00032,Baixa,2025-05-11,Corrigida
VUL000364,ATV00602,Alta,2025-03-26,Não Corrigida
VUL000365,ATV00070,Crítica,2025-03-01,Não Corrigida
VUL000366,ATV00322,Baixa,2024-12-10,Em Progresso
VUL000367,ATV00715,Crítica,2025-03-01,Não Corrigida
VUL000368,ATV00669,Crítica,2025-02-18,Em Progresso
VUL000369,ATV00271,Crítica,2025-02-23,Corrigida
VUL000370,ATV00546,Média,2024-12-22,Corrigida
VUL000371,ATV00015,Média,2025-03-03,Em Progresso
VUL000372,ATV00185,Baixa,2025-02-01,Não Corrigida
VUL000373,ATV00520,Crítica,2025-02-10,Não Corrigida
VUL000374,ATV00089,Crítica,2025-03-03,Em Progresso
VUL000375,ATV00045,Alta,2024-12-04,Corrigida
VUL000376,ATV00646,Crítica,2025-04-25,Corrigida
VUL000377,ATV00057,Alta,2025-01-28,Não Corrigida
VUL000378,ATV00344,Crítica,2025-01-03,Não Corrigida
VUL000379,ATV00204,Alta,2025-04-17,Em Progresso
VUL000380,ATV00761,Média,2025-03-17,Em Progresso
VUL000381,ATV00550,Alta,2024-12-27,Não Corrigida
VUL000382,ATV00237,Alta,2025-01-28,Não Corrigida
VUL000383,ATV00133,Alta,2025-01-23,Em Progresso
VUL000384,ATV00510,Média,2025-05-07,Corrigida
VUL000385,ATV00275,Média,2024-12-05,Não Corrigida
VUL000386,ATV00245,Crítica,2025-03-27,Não Corrigida
VUL000387,ATV00528,Alta,2025-05-05,Em Progresso
VUL000388,ATV00334,Crítica,2025-01-13,Corrigida
VUL000389,ATV00862,Média,2024-11-25,Em Progresso
VUL000390,ATV00842,Crítica,2025-01-21,Não Corrigida
VUL000391,ATV00686,Baixa,2025-03-03,Em Progresso
VUL000392,ATV00807,Média,2025-01-18,Em Progresso
VUL000393,ATV00669,Baixa,2024-11-26,Não Corrigida
VUL000394,ATV00538,Crítica,2025-02-11,Em Progresso
VUL000395,ATV00664,Crítica,2025-04-04,Não Corrigida
VUL000396,ATV00203,Média,2024-12-30,Não Corrigida
VUL000397,ATV00248,Média,2025-02-12,Corrigida
VUL000398,ATV00001,Crítica,2025-02-25,Não Corrigida
VUL000399,ATV00036,Alta,2025-03-12,Corrigida
VUL000400,ATV00295,Baixa,2025-03-28,Corrigida
VUL000401,ATV00520,Crítica,2025-03-17,Não Corrigida
VUL000402,ATV00949,Alta,2025-02-28,Corrigida
VUL000403,ATV00373,Crítica,2025-03-12,Corrigida
VUL000404,ATV00183,Média,2025-01-22,Não Corrigida
VUL000405,ATV00092,Crítica,2024-11-28,Corrigida
VUL000406,ATV00602,Alta,2025-03-25,Em Progresso
VUL000407,ATV00552,Crítica,2024-12-19,Não Corrigida
VUL000408,ATV00427,Baixa,2025-04-21,Corrigida
VUL000409,ATV00325,Alta,2025-01-03,Em Progresso
VUL000410,ATV00508,Média,2025-01-15,Em Progresso
VUL000411,ATV00534,Média,2025-04-12,Em Progresso
VUL000412,ATV00520,Média,2024-12-21,Corrigida
VUL000413,ATV00767,Baixa,2025-04-14,Corrigida
VUL000414,ATV00805,Alta,2025-03-04,Não Corrigida
VUL000415,ATV00020,Crítica,2025-04-21,Não Corrigida
VUL000416,ATV00110,Crítica,2025-02-06,Corrigida
VUL000417,ATV00817,Baixa,2025-01-02,Corrigida
VUL000418,ATV00749,Crítica,2024-11-29,Não Corrigida
VUL000419,ATV00301,Baixa,2024-11-27,Não Corrigida
VUL000420,ATV00634,Média,2024-12-03,Em Progresso
VUL000421,ATV00233,Baixa,2025-03-06,Em Progresso
VUL000422,ATV00547,Média,2024-12-08,Corrigida
VUL000423,ATV00932,Crítica,2025-04-03,Não Corrigida
VUL000424,ATV00988,Alta,2025-01-22,Não Corrigida
VUL000425,ATV00935,Baixa,2025-04-11,Não Corrigida
VUL000426,ATV00282,Média,2025-04-14,Em Progresso
VUL000427,ATV00945,Média,2025-05-08,Em Progresso
VUL000428,ATV00955,Alta,2025-03-17,Em Progresso
VUL000429,ATV00425,Baixa,2025-02-10,Corrigida
VUL000430,ATV00734,Crítica,2024-11-23,Corrigida
VUL000431,ATV00612,Alta,2025-03-17,Corrigida
VUL000432,ATV00948,Crítica,2025-04-09,Em Progresso
VUL000433,ATV00428,Alta,2024-12-25,Corrigida
VUL000434,ATV00426,Crítica,2025-01-22,Corrigida
VUL000435,ATV00223,Baixa,2024-11-30,Corrigida
VUL000436,ATV00768,Baixa,2025-01-17,Em Progresso
VUL000437,ATV00362,Crítica,2025-01-06,Corrigida
VUL000438,ATV00433,Baixa,2024-12-22,Não Corrigida
VUL000439,ATV00680,Alta,2025-03-10,Em Progresso
VUL000440,ATV00935,Crítica,2025-03-08,Em Progresso
VUL000441,ATV00667,Baixa,2025-02-13,Em Progresso
VUL000442,ATV00932,Média,2025-03-16,Corrigida
VUL000443,ATV00960,Baixa,2024-12-11,Corrigida
VUL000444,ATV00004,Crítica,2025-01-07,Não Corrigida
VUL000445,ATV00051,Crítica,2025-03-25,Corrigida
VUL000446,ATV00029,Média,2024-12-16,Em Progresso
VUL000447,ATV00287,Baixa,2025-01-10,Em Progresso
VUL000448,ATV00161,Baixa,2025-01-24,Não Corrigida
VUL000449,ATV00384,Alta,2025-04-14,Não Corrigida
VUL000450,ATV00064,Baixa,2025-02-18,Em Progresso
VUL000451,ATV00712,Média,2025-03-17,Não Corrigida
VUL000452,ATV00520,Alta,2025-02-12,Em Progresso
VUL000453,ATV00301,Crítica,2025-01-11,Em Progresso
VUL000454,ATV00955,Baixa,2025-05-05,Em Progresso
VUL000455,ATV00331,Média,2025-05-11,Corrigida
VUL000456,ATV00695,Baixa,2024-12-14,Corrigida
VUL000457,ATV00265,Média,2025-01-25,Não Corrigida
VUL000458,ATV00694,Crítica,2025-03-05,Em Progresso
VUL000459,ATV00907,Crítica,2025-02-19,Em Progresso
VUL000460,ATV00232,Alta,2025-04-26,Não Corrigida
