ID_Patch,ID_Ativo,Responsável,Data_Aplicação,Resultado
PTC000200,ATV00435,Fernanda,2025-01-11,Sucesso
PTC000201,ATV00582,João,2024-12-03,Sucesso
PTC000202,ATV00137,Fernanda,2025-03-03,Sucesso
PTC000203,ATV00244,João,2024-12-05,Falha
PTC000204,ATV00206,Fernanda,2025-01-22,Falha
PTC000205,ATV00492,Marina,2025-05-08,Falha
PTC000206,ATV00528,Carlos,2025-03-06,Sucesso
PTC000207,ATV00249,João,2024-11-29,Sucesso
PTC000208,ATV00412,Fernanda,2025-02-27,Falha
PTC000209,ATV00632,Fernanda,2025-04-26,Falha
PTC000210,ATV00635,Lucas,2025-04-13,Sucesso
PTC000211,ATV00861,Lucas,2024-12-13,Sucesso
PTC000212,ATV00130,Fernanda,2024-12-03,Falha
PTC000213,ATV00016,João,2025-05-19,Falha
PTC000214,ATV00648,Carlos,2025-04-01,Sucesso
PTC000215,ATV00614,Marina,2025-01-14,Falha
PTC000216,ATV00438,Carlos,2025-05-12,Falha
PTC000217,ATV00474,João,2025-04-06,Sucesso
PTC000218,ATV00819,Marina,2025-04-15,Sucesso
PTC000219,ATV00677,Fernanda,2025-02-28,Falha
PTC000220,ATV00019,Fernanda,2025-01-22,Sucesso
PTC000221,ATV00273,Carlos,2025-03-14,Sucesso
PTC000222,ATV00493,João,2025-04-21,Falha
PTC000223,ATV00942,Lucas,2024-12-12,Sucesso
PTC000224,ATV00897,Marina,2024-12-29,Falha
PTC000225,ATV00592,Marina,2025-01-19,Falha
PTC000226,ATV00563,João,2025-01-28,Sucesso
PTC000227,ATV00541,Marina,2025-01-15,Falha
PTC000228,ATV00007,Carlos,2025-04-04,Sucesso
PTC000229,ATV00532,Fernanda,2025-04-17,Sucesso
PTC000230,ATV00090,Carlos,2024-12-27,Sucesso
PTC000231,ATV00199,João,2024-12-08,Falha
PTC000232,ATV00664,Marina,2024-12-06,Sucesso
PTC000233,ATV00274,Fernanda,2024-12-07,Falha
PTC000234,ATV00248,Carlos,2025-03-02,Falha
PTC000235,ATV00437,Marina,2025-01-15,Falha
PTC000236,ATV00096,Lucas,2025-04-01,Sucesso
PTC000237,ATV00820,Marina,2024-12-23,Sucesso
PTC000238,ATV00918,Marina,2025-03-17,Falha
PTC000239,ATV00897,Lucas,2025-04-18,Falha
PTC000240,ATV00122,Carlos,2025-02-16,Falha
PTC000241,ATV00093,Lucas,2025-04-16,Falha
PTC000242,ATV00604,Lucas,2024-12-15,Falha
PTC000243,ATV00657,Fernanda,2024-12-01,Falha
PTC000244,ATV00756,Fernanda,2025-04-24,Falha
PTC000245,ATV00877,João,2024-11-29,Sucesso
PTC000246,ATV00480,João,2025-02-05,Sucesso
PTC000247,ATV00001,Fernanda,2025-03-14,Falha
PTC000248,ATV00004,Marina,2025-02-15,Sucesso
PTC000249,ATV00128,Fernanda,2025-04-10,Falha
PTC000250,ATV00542,Carlos,2025-02-16,Falha
PTC000251,ATV00604,Carlos,2025-02-17,Falha
PTC000252,ATV00587,Carlos,2025-03-27,Falha
PTC000253,ATV00275,Carlos,2025-03-20,Sucesso
PTC000254,ATV00277,Marina,2025-01-22,Falha
PTC000255,ATV00366,Marina,2025-04-01,Sucesso
PTC000256,ATV00306,Carlos,2025-03-14,Falha
PTC000257,ATV00032,João,2025-03-22,Sucesso
PTC000258,ATV00261,Carlos,2025-04-27,Sucesso
PTC000259,ATV00629,Carlos,2025-05-09,Sucesso
PTC000260,ATV00014,Lucas,2025-01-07,Sucesso
PTC000261,ATV00991,Fernanda,2025-03-23,Falha
PTC000262,ATV00767,Lucas,2025-03-14,Falha
PTC000263,ATV00592,João,2025-03-23,Sucesso
PTC000264,ATV00859,Lucas,2025-01-29,Sucesso
PTC000265,ATV00837,Carlos,2025-03-27,Sucesso
PTC000266,ATV00983,João,2025-01-16,Falha
PTC000267,ATV00475,Fernanda,2024-12-23,Falha
PTC000268,ATV00933,Fernanda,2025-01-11,Falha
PTC000269,ATV00347,João,2025-03-30,Falha
PTC000270,ATV00061,Marina,2025-05-01,Falha
PTC000271,ATV00239,Lucas,2024-12-17,Sucesso
PTC000272,ATV00565,Lucas,2025-01-11,Sucesso
PTC000273,ATV00478,João,2024-12-06,Sucesso
PTC000274,ATV00081,João,2024-12-09,Sucesso
PTC000275,ATV00156,Marina,2025-01-07,Falha
PTC000276,ATV00565,João,2025-03-14,Falha
PTC000277,ATV00994,Fernanda,2025-05-01,Falha
PTC000278,ATV00917,Fernanda,2025-04-06,Falha
PTC000279,ATV00223,Marina,2024-12-17,Falha
PTC000280,ATV00820,Lucas,2025-01-13,Sucesso
PTC000281,ATV00662,Carlos,2025-02-27,Sucesso
PTC000282,ATV00334,Carlos,2025-02-28,Falha
PTC000283,ATV00762,Carlos,2024-11-29,Falha
PTC000284,ATV00870,Carlos,2025-01-03,Sucesso
PTC000285,ATV00994,Marina,2025-04-08,Sucesso
PTC000286,ATV00549,Marina,2025-02-27,Sucesso
PTC000287,ATV00194,Carlos,2025-05-16,Sucesso
PTC000288,ATV00596,Carlos,2024-12-07,Sucesso
PTC000289,ATV00537,Lucas,2025-02-28,Falha
PTC000290,ATV00414,Marina,2025-02-05,Sucesso
PTC000291,ATV00744,Marina,2025-05-12,Sucesso
PTC000292,ATV00407,João,2025-01-05,Sucesso
PTC000293,ATV00815,Marina,2025-02-04,Sucesso
PTC000294,ATV00643,Fernanda,2024-12-27,Falha
PTC000295,ATV00150,Marina,2025-05-01,Sucesso
PTC000296,ATV00868,Carlos,2025-05-20,Falha
PTC000297,ATV00896,Lucas,2025-03-17,Sucesso
PTC000298,ATV00542,Fernanda,2025-04-28,Falha
PTC000299,ATV00873,Marina,2025-03-06,Falha
PTC000300,ATV00632,Carlos,2025-02-11,Sucesso
PTC000301,ATV00707,Lucas,2025-04-23,Falha
PTC000302,ATV00680,João,2024-12-13,Falha
PTC000303,ATV00792,Carlos,2024-12-21,Falha
PTC000304,ATV00449,Lucas,2025-01-22,Sucesso
PTC000305,ATV00889,Fernanda,2024-11-26,Falha
PTC000306,ATV00139,Fernanda,2025-05-12,Sucesso
PTC000307,ATV00479,Lucas,2024-12-09,Falha
PTC000308,ATV00918,Marina,2024-12-31,Falha
PTC000309,ATV00070,Fernanda,2024-11-29,Sucesso
PTC000310,ATV00015,João,2025-03-18,Falha
PTC000311,ATV00763,Lucas,2025-02-17,Sucesso
PTC000312,ATV00489,Lucas,2025-05-19,Sucesso
PTC000313,ATV00569,Fernanda,2024-12-24,Falha
PTC000314,ATV00876,Carlos,2025-02-24,Falha
PTC000315,ATV00225,João,2025-04-27,Falha
PTC000316,ATV00478,Carlos,2025-04-15,Sucesso
PTC000317,ATV00656,Carlos,2024-12-23,Sucesso
PTC000318,ATV00769,João,2024-12-03,Sucesso
PTC000319,ATV00664,Fernanda,2024-12-05,Falha
PTC000320,ATV00616,Carlos,2025-03-08,Falha
PTC000321,ATV00576,João,2025-04-27,Sucesso
PTC000322,ATV00673,Marina,2025-03-27,Falha
PTC000323,ATV00630,Carlos,2025-05-17,Sucesso
PTC000324,ATV00639,Carlos,2025-05-12,Falha
PTC000325,ATV00288,Carlos,2025-05-13,Sucesso
PTC000326,ATV00233,Marina,2024-11-26,Sucesso
PTC000327,ATV00100,Marina,2024-12-07,Falha
PTC000328,ATV00967,Marina,2025-01-23,Sucesso
PTC000329,ATV00837,Fernanda,2025-04-19,Sucesso
PTC000330,ATV00311,João,2025-03-24,Sucesso
PTC000331,ATV00442,Fernanda,2024-12-08,Sucesso
PTC000332,ATV00039,Lucas,2025-04-24,Falha
PTC000333,ATV00997,Marina,2025-02-06,Falha
PTC000334,ATV00362,Marina,2024-12-28,Sucesso
PTC000335,ATV00397,João,2025-02-05,Falha
PTC000336,ATV00329,Fernanda,2025-02-22,Sucesso
PTC000337,ATV00235,Fernanda,2025-02-27,Sucesso
PTC000338,ATV00556,Fernanda,2025-04-10,Sucesso
PTC000339,ATV00638,Carlos,2025-01-11,Falha
PTC000340,ATV00734,Lucas,2024-11-28,Falha
PTC000341,ATV00139,Fernanda,2024-12-02,Falha
PTC000342,ATV00412,Lucas,2024-12-16,Sucesso
PTC000343,ATV00443,Lucas,2025-02-14,Sucesso
PTC000344,ATV00135,Marina,2024-12-17,Sucesso
PTC000345,ATV00158,Marina,2025-04-30,Falha
PTC000346,ATV00739,Carlos,2025-03-31,Sucesso
PTC000347,ATV00574,João,2025-03-27,Falha
PTC000348,ATV00154,João,2025-05-08,Falha
PTC000349,ATV00215,Lucas,2025-03-26,Falha
PTC000350,ATV00307,Fernanda,2025-02-05,Sucesso
PTC000351,ATV00913,Carlos,2024-12-14,Falha
PTC000352,ATV00495,Marina,2025-01-02,Sucesso
PTC000353,ATV00124,Marina,2024-12-03,Sucesso
PTC000354,ATV00872,João,2024-12-04,Sucesso
PTC000355,ATV00170,João,2025-04-15,Falha
PTC000356,ATV00792,Carlos,2025-02-28,Falha
PTC000357,ATV00677,Lucas,2025-01-22,Sucesso
PTC000358,ATV00557,Lucas,2025-04-16,Sucesso
PTC000359,ATV00036,João,2025-03-12,Falha
PTC000360,ATV00934,Carlos,2025-04-29,Sucesso
PTC000361,ATV00036,João,2025-04-06,Sucesso
PTC000362,ATV00599,João,2025-05-14,Falha
PTC000363,ATV00834,João,2025-03-25,Falha
PTC000364,ATV00196,Fernanda,2024-12-06,Sucesso
PTC000365,ATV00239,Carlos,2024-12-20,Sucesso
PTC000366,ATV00776,Fernanda,2025-01-08,Sucesso
PTC000367,ATV00052,Carlos,2025-03-31,Sucesso
PTC000368,ATV00728,Carlos,2025-05-08,Sucesso
PTC000369,ATV00407,Fernanda,2024-12-11,Sucesso
PTC000370,ATV00751,João,2025-01-21,Falha
PTC000371,ATV00606,Carlos,2024-12-16,Falha
PTC000372,ATV00811,Marina,2025-01-26,Falha
PTC000373,ATV00108,Marina,2024-12-11,Falha
PTC000374,ATV00399,Carlos,2025-03-19,Sucesso
PTC000375,ATV00004,Carlos,2025-01-26,Sucesso
PTC000376,ATV00570,Lucas,2025-05-09,Sucesso
PTC000377,ATV00522,Marina,2025-05-20,Sucesso
PTC000378,ATV00107,Marina,2025-01-27,Sucesso
PTC000379,ATV00287,João,2025-05-13,Sucesso
PTC000380,ATV00901,Lucas,2025-05-03,Sucesso
PTC000381,ATV00728,Lucas,2025-02-01,Sucesso
PTC000382,ATV00760,Lucas,2024-12-12,Falha
PTC000383,ATV00743,Carlos,2025-01-31,Sucesso
PTC000384,ATV00902,Lucas,2024-12-18,Sucesso
PTC000385,ATV00277,Carlos,2024-12-13,Sucesso
PTC000386,ATV00020,Carlos,2025-01-01,Falha
PTC000387,ATV00552,Marina,2025-03-10,Falha
PTC000388,ATV00365,Lucas,2025-01-05,Sucesso
PTC000389,ATV00028,João,2025-03-20,Sucesso
PTC000390,ATV00485,Carlos,2025-05-07,Sucesso
PTC000391,ATV00804,Fernanda,2025-02-04,Falha
PTC000392,ATV00922,Carlos,2025-04-11,Falha
PTC000393,ATV00971,Fernanda,2025-05-13,Sucesso
PTC000394,ATV00026,João,2025-04-11,Sucesso
PTC000395,ATV00884,João,2025-01-03,Falha
PTC000396,ATV00112,Marina,2024-11-29,Falha
PTC000397,ATV00067,Fernanda,2024-12-08,Falha
PTC000398,ATV00123,Lucas,2025-03-25,Falha
PTC000399,ATV00013,João,2025-05-17,Falha
PTC000400,ATV00147,João,2025-02-05,Sucesso
PTC000401,ATV00330,Carlos,2024-12-01,Sucesso
PTC000402,ATV00403,João,2024-12-13,Sucesso
PTC000403,ATV00687,Marina,2025-01-12,Sucesso
PTC000404,ATV00501,Marina,2025-04-17,Sucesso
PTC000405,ATV00712,Fernanda,2025-02-21,Falha
PTC000406,ATV00231,Lucas,2025-02-03,Falha
PTC000407,ATV00530,Carlos,2024-11-28,Falha
PTC000408,ATV00208,Fernanda,2025-05-09,Falha
PTC000409,ATV00521,Fernanda,2025-05-19,Sucesso
PTC000410,ATV00272,João,2024-12-25,Falha
PTC000411,ATV00416,Fernanda,2025-04-16,Sucesso
PTC000412,ATV00342,Marina,2025-01-13,Sucesso
PTC000413,ATV00051,Carlos,2024-12-12,Falha
PTC000414,ATV00235,João,2025-03-25,Sucesso
PTC000415,ATV00421,Lucas,2025-01-18,Sucesso
PTC000416,ATV00353,Carlos,2025-05-13,Falha
PTC000417,ATV00470,Fernanda,2025-02-03,Sucesso
PTC000418,ATV00301,Marina,2025-01-15,Falha
PTC000419,ATV00701,Lucas,2025-03-02,Falha
PTC000420,ATV00626,Carlos,2025-04-03,Sucesso
PTC000421,ATV00252,Marina,2025-01-16,Sucesso
PTC000422,ATV00498,João,2025-03-22,Sucesso
PTC000423,ATV00265,João,2025-01-02,Falha
PTC000424,ATV00027,Lucas,2025-02-14,Sucesso
PTC000425,ATV00071,Fernanda,2025-04-03,Sucesso
PTC000426,ATV00371,Carlos,2025-03-09,Falha
PTC000427,ATV00869,Fernanda,2024-11-24,Sucesso
PTC000428,ATV00101,Lucas,2025-01-16,Sucesso
PTC000429,ATV00595,Carlos,2025-01-31,Sucesso
PTC000430,ATV00143,Carlos,2024-11-28,Sucesso
PTC000431,ATV00504,Carlos,2025-01-27,Sucesso
PTC000432,ATV00331,João,2025-04-12,Falha
PTC000433,ATV00686,Fernanda,2025-01-02,Sucesso
PTC000434,ATV00287,Fernanda,2024-11-26,Falha
PTC000435,ATV00255,Marina,2024-11-27,Sucesso
PTC000436,ATV00237,Marina,2024-12-09,Falha
PTC000437,ATV00762,Carlos,2025-04-30,Sucesso
PTC000438,ATV00370,Lucas,2025-02-06,Falha
PTC000439,ATV00780,Marina,2025-04-29,Sucesso
PTC000440,ATV00381,Carlos,2025-04-14,Falha
PTC000441,ATV00356,João,2025-03-06,Falha
PTC000442,ATV00837,Lucas,2025-02-26,Falha
PTC000443,ATV00907,Lucas,2024-12-12,Sucesso
PTC000444,ATV00306,João,2025-03-29,Sucesso
PTC000445,ATV00421,João,2025-03-13,Sucesso
PTC000446,ATV00151,Fernanda,2025-01-20,Sucesso
PTC000447,ATV00433,Marina,2025-05-10,Sucesso
PTC000448,ATV00473,João,2025-03-21,Sucesso
PTC000449,ATV00350,Lucas,2025-04-22,Falha
PTC000450,ATV00988,Lucas,2025-05-07,Falha
PTC000451,ATV00912,Lucas,2025-02-12,Falha
PTC000452,ATV00560,Fernanda,2025-03-09,Falha
PTC000453,ATV00783,Carlos,2025-02-16,Sucesso
PTC000454,ATV00829,Lucas,2024-12-01,Falha
PTC000455,ATV00389,Marina,2025-02-24,Falha
PTC000456,ATV00545,Carlos,2025-04-11,Sucesso
PTC000457,ATV00984,Marina,2025-01-29,Falha
PTC000458,ATV00340,Fernanda,2025-01-22,Falha
PTC000459,ATV00530,Carlos,2025-02-26,Falha
PTC000460,ATV00509,Lucas,2025-02-26,Sucesso
PTC000461,ATV00548,Carlos,2024-11-30,Falha
PTC000462,ATV00193,João,2025-05-22,Falha
PTC000463,ATV00826,Fernanda,2025-03-11,Falha
PTC000464,ATV00331,Marina,2025-01-07,Sucesso
PTC000465,ATV00423,João,2025-02-28,Sucesso
PTC000466,ATV00025,João,2025-01-05,Falha
PTC000467,ATV00916,Marina,2025-03-07,Falha
PTC000468,ATV00338,Marina,2024-12-29,Sucesso
PTC000469,ATV00372,Marina,2025-01-08,Falha
PTC000470,ATV00444,Lucas,2025-04-10,Falha
PTC000471,ATV00051,Carlos,2025-02-28,Sucesso
PTC000472,ATV00392,Carlos,2025-02-17,Falha
PTC000473,ATV00611,João,2025-03-01,Falha
PTC000474,ATV00198,João,2025-03-23,Falha
PTC000475,ATV00021,João,2024-12-30,Falha
PTC000476,ATV00178,Marina,2025-01-14,Falha
PTC000477,ATV00397,Fernanda,2025-03-26,Falha
PTC000478,ATV00961,Marina,2025-03-26,Falha
PTC000479,ATV00960,Carlos,2024-11-23,Sucesso
PTC000480,ATV00852,Lucas,2024-12-26,Sucesso
PTC000481,ATV00479,João,2025-02-02,Falha
PTC000482,ATV00888,Lucas,2025-04-19,Sucesso
PTC000483,ATV00790,Carlos,2025-01-24,Sucesso
PTC000484,ATV00973,Marina,2024-12-13,Sucesso
PTC000485,ATV00215,Lucas,2025-01-11,Sucesso
PTC000486,ATV00392,Fernanda,2025-05-01,Falha
PTC000487,ATV00508,Marina,2025-02-27,Sucesso
PTC000488,ATV00553,João,2025-02-07,Falha
PTC000489,ATV00736,Lucas,2025-04-18,Sucesso
